label,task_id,acc_mean,acc_std
Best replay,0,0.052700000000000004,0.012661950876543475
Best replay,1,0.0975,0.009089829481348921
Best replay,2,0.22350000000000003,0.029238245501397662
Best replay,3,0.11879999999999999,0.0225349728200413
Best replay,4,0.24889999999999998,0.026564544039000562
Best replay,5,0.195,0.021803096110415154
Best replay,6,0.5585,0.022860992979308655
Best replay,7,0.5416000000000001,0.04078510757617293
Best replay,8,0.3573,0.05525463781439528
Best replay,9,0.4023,0.025210612844593833
Selected RC2O,0,0.040999999999999995,0.02639128644079329
Selected RC2O,1,0.027499999999999997,0.05101347861104945
Selected RC2O,2,0.2411,0.1357172612455763
Selected RC2O,3,0.12190000000000001,0.08614261430906309
Selected RC2O,4,0.3548,0.044533133732087615
Selected RC2O,5,0.2786,0.05781911448647408
Selected RC2O,6,0.6423,0.06279589954766156
Selected RC2O,7,0.6035999999999999,0.026142398512760862
Selected RC2O,8,0.42989999999999995,0.07597483135881249
Selected RC2O,9,0.4083,0.02882837144203606
ZF oracle probe,0,0.1332,0.051091339774955995
ZF oracle probe,1,0.2677,0.0766743112130784
ZF oracle probe,2,0.3256,0.04965933950426647
ZF oracle probe,3,0.1895,0.05432080632685784
ZF oracle probe,4,0.4232,0.07385340208819088
ZF oracle probe,5,0.28650000000000003,0.06285001988862055
ZF oracle probe,6,0.6243000000000001,0.05871286060140489
ZF oracle probe,7,0.598,0.03635759893062247
ZF oracle probe,8,0.4133,0.07276468923866851
ZF oracle probe,9,0.36920000000000003,0.039891415116538556
