comparison,seed,method_a,method_b,acc_a,acc_b,delta,mean_delta,ci95_low,ci95_high
Selected RC2O - replay,0,paired_rc2o_v1_feature_only_regime_hard_selector_policy,baseline_balanced_replay,0.283,0.2666,0.01639999999999997,0.03529,0.0029176025557092755,0.06766239744429073
Selected RC2O - replay,1,paired_rc2o_v1_feature_only_regime_hard_selector_policy,baseline_balanced_replay,0.34415,0.27875,0.06540000000000001,0.03529,0.0029176025557092755,0.06766239744429073
Selected RC2O - replay,2,paired_rc2o_v1_feature_only_regime_hard_selector_policy,baseline_balanced_replay,0.35845,0.2999,0.05854999999999999,0.03529,0.0029176025557092755,0.06766239744429073
Selected RC2O - replay,3,paired_rc2o_v1_feature_only_regime_hard_selector_policy,baseline_balanced_replay,0.3036,0.2729,0.030700000000000005,0.03529,0.0029176025557092755,0.06766239744429073
Selected RC2O - replay,4,paired_rc2o_v1_feature_only_regime_hard_selector_policy,baseline_balanced_replay,0.2853,0.2799,0.005400000000000016,0.03529,0.0029176025557092755,0.06766239744429073
Selected RC2O - joint MLP control,0,paired_rc2o_v1_feature_only_regime_hard_selector_policy,baseline_joint_upper_bound,0.283,0.23435,0.04864999999999997,0.06406999999999999,0.0289647747736188,0.09917522522638117
Selected RC2O - joint MLP control,1,paired_rc2o_v1_feature_only_regime_hard_selector_policy,baseline_joint_upper_bound,0.34415,0.255,0.08915000000000001,0.06406999999999999,0.0289647747736188,0.09917522522638117
Selected RC2O - joint MLP control,2,paired_rc2o_v1_feature_only_regime_hard_selector_policy,baseline_joint_upper_bound,0.35845,0.2601,0.09834999999999999,0.06406999999999999,0.0289647747736188,0.09917522522638117
Selected RC2O - joint MLP control,3,paired_rc2o_v1_feature_only_regime_hard_selector_policy,baseline_joint_upper_bound,0.3036,0.25175,0.05185000000000001,0.06406999999999999,0.0289647747736188,0.09917522522638117
Selected RC2O - joint MLP control,4,paired_rc2o_v1_feature_only_regime_hard_selector_policy,baseline_joint_upper_bound,0.2853,0.25295,0.03234999999999999,0.06406999999999999,0.0289647747736188,0.09917522522638117
Selected RC2O - RC1b context-gap,0,paired_rc2o_v1_feature_only_regime_hard_selector_policy,paired_context_gap_selected,0.283,0.2608499999999999,0.02215000000000006,0.004060000000000008,-0.008695446308109398,0.016815446308109414
Selected RC2O - RC1b context-gap,1,paired_rc2o_v1_feature_only_regime_hard_selector_policy,paired_context_gap_selected,0.34415,0.34465,-0.0005000000000000004,0.004060000000000008,-0.008695446308109398,0.016815446308109414
Selected RC2O - RC1b context-gap,2,paired_rc2o_v1_feature_only_regime_hard_selector_policy,paired_context_gap_selected,0.35845,0.35645,0.0020000000000000018,0.004060000000000008,-0.008695446308109398,0.016815446308109414
Selected RC2O - RC1b context-gap,3,paired_rc2o_v1_feature_only_regime_hard_selector_policy,paired_context_gap_selected,0.3036,0.3067,-0.0030999999999999917,0.004060000000000008,-0.008695446308109398,0.016815446308109414
Selected RC2O - RC1b context-gap,4,paired_rc2o_v1_feature_only_regime_hard_selector_policy,paired_context_gap_selected,0.2853,0.28555,-0.000250000000000028,0.004060000000000008,-0.008695446308109398,0.016815446308109414
Oracle probe - Selected RC2O,0,probe_proto__zf_oracle,paired_rc2o_v1_feature_only_regime_hard_selector_policy,0.37435,0.283,0.09135000000000004,0.048150000000000005,0.004527196399232415,0.09177280360076759
Oracle probe - Selected RC2O,1,probe_proto__zf_oracle,paired_rc2o_v1_feature_only_regime_hard_selector_policy,0.3692,0.34415,0.02504999999999996,0.048150000000000005,0.004527196399232415,0.09177280360076759
Oracle probe - Selected RC2O,2,probe_proto__zf_oracle,paired_rc2o_v1_feature_only_regime_hard_selector_policy,0.4112,0.35845,0.05275000000000002,0.048150000000000005,0.004527196399232415,0.09177280360076759
Oracle probe - Selected RC2O,3,probe_proto__zf_oracle,paired_rc2o_v1_feature_only_regime_hard_selector_policy,0.37265,0.3036,0.06905,0.048150000000000005,0.004527196399232415,0.09177280360076759
Oracle probe - Selected RC2O,4,probe_proto__zf_oracle,paired_rc2o_v1_feature_only_regime_hard_selector_policy,0.28785,0.2853,0.0025499999999999967,0.048150000000000005,0.004527196399232415,0.09177280360076759
