method,seed,after_task,n_seen_classes,pred_entropy,pred_entropy_normalized,effective_predicted_classes,max_pred_mass,dominant_pred_class,min_true_class_recall,zero_recall_classes,collapse_warning,audit_only
baseline_balanced_replay,0,9,50,3.4361806120475737,0.878364111683312,31.068070260056132,0.10555,49,0.0,[2],True,True
baseline_balanced_replay,1,9,50,3.5051691754884806,0.8959991213305409,33.2870747332149,0.08855,45,0.0,[3],True,True
baseline_balanced_replay,2,9,50,3.5649695667325263,0.9112854300156048,35.33837792560711,0.0934,49,0.0025,[],False,True
baseline_balanced_replay,3,9,50,3.44222018163688,0.879907959861333,31.25627580053857,0.10555,48,0.0,[2],True,True
baseline_balanced_replay,4,9,50,3.4604453374941837,0.8845667146365515,31.83114896278826,0.1154,49,0.0,"[2, 3]",True,True
baseline_dense_moe,0,9,50,1.5876496584863928,0.405838528117918,4.892236977455522,0.2457,45,0.0,"[0, 1, 2, 3, 4, 5, 6, 7, 8, 9, 10, 11, 12, 13, 14, 15, 16, 17, 18, 19, 20, 21, 22, 23, 24, 25, 26, 27, 28, 29, 30, 31, 32, 33, 34, 35, 36, 37, 38, 39, 40, 41, 42, 43, 44]",True,True
baseline_dense_moe,1,9,50,1.574985278481809,0.4026012312035054,4.830670502783136,0.28155,45,0.0,"[0, 1, 2, 3, 4, 5, 6, 7, 8, 9, 10, 11, 12, 13, 14, 15, 16, 17, 18, 19, 20, 21, 22, 23, 24, 25, 26, 27, 28, 29, 30, 31, 32, 33, 34, 35, 36, 37, 38, 39, 40, 41, 42, 43, 44]",True,True
baseline_dense_moe,2,9,50,1.5735863962502408,0.4022436458238623,4.823917687947774,0.27025,45,0.0,"[0, 1, 2, 3, 4, 5, 6, 7, 8, 9, 10, 11, 12, 13, 14, 15, 16, 17, 18, 19, 20, 21, 22, 23, 24, 25, 26, 27, 28, 29, 30, 31, 32, 33, 34, 35, 36, 37, 38, 39, 40, 41, 42, 43, 44]",True,True
baseline_dense_moe,3,9,50,1.4837371201357172,0.3792761745206893,4.409393361013819,0.32995,45,0.0,"[0, 1, 2, 3, 4, 5, 6, 7, 8, 9, 10, 11, 12, 13, 14, 15, 16, 17, 18, 19, 20, 21, 22, 23, 24, 25, 26, 27, 28, 29, 30, 31, 32, 33, 34, 35, 36, 37, 38, 39, 40, 41, 42, 43, 44]",True,True
baseline_dense_moe,4,9,50,1.5239630279317384,0.3895588103181286,4.59038100352628,0.38265,45,0.0,"[0, 1, 2, 3, 4, 5, 6, 7, 8, 9, 10, 11, 12, 13, 14, 15, 16, 17, 18, 19, 20, 21, 22, 23, 24, 25, 26, 27, 28, 29, 30, 31, 32, 33, 34, 36, 37, 38, 39, 41, 42, 43, 44]",True,True
baseline_ewc,0,9,50,1.6237723850086654,0.4150722996146986,5.072188518959015,0.2648,47,0.0,"[0, 1, 2, 3, 4, 5, 6, 7, 8, 9, 10, 11, 12, 13, 14, 15, 16, 17, 18, 19, 20, 21, 22, 23, 24, 25, 26, 27, 28, 29, 30, 31, 32, 33, 34, 35, 36, 40, 41, 42, 43, 44]",True,True
baseline_ewc,1,9,50,1.5970910882667742,0.4082519673454688,4.938645425660408,0.2959,45,0.0,"[0, 1, 2, 3, 4, 5, 6, 7, 8, 9, 10, 11, 12, 13, 14, 15, 16, 17, 18, 19, 20, 21, 22, 23, 24, 25, 26, 27, 28, 29, 30, 31, 32, 33, 34, 35, 36, 37, 38, 39, 40, 41, 42, 43, 44]",True,True
baseline_ewc,2,9,50,1.583014737790844,0.404653739406523,4.869614314664409,0.37755,49,0.0,"[0, 1, 2, 3, 4, 5, 6, 7, 8, 9, 10, 11, 12, 13, 14, 16, 17, 18, 19, 20, 22, 23, 24, 25, 26, 27, 28, 29, 30, 31, 32, 33, 34, 35, 36, 37, 38, 39, 41, 42, 43, 44]",True,True
baseline_ewc,3,9,50,1.5972490045356296,0.4082923342524722,4.939425379701324,0.28405,45,0.0,"[0, 1, 2, 3, 4, 5, 6, 7, 8, 9, 10, 11, 12, 13, 14, 15, 16, 17, 18, 19, 20, 21, 22, 23, 24, 25, 26, 27, 28, 29, 30, 31, 32, 33, 34, 35, 36, 37, 38, 39, 40, 41, 42, 43, 44]",True,True
baseline_ewc,4,9,50,1.638637156909192,0.4188720655874194,5.148148610363475,0.264,45,0.0,"[0, 2, 3, 4, 5, 6, 7, 8, 9, 10, 11, 12, 13, 14, 15, 16, 17, 18, 19, 20, 21, 22, 23, 24, 25, 26, 27, 28, 29, 30, 31, 32, 33, 34, 35, 36, 37, 38, 39, 40, 41, 42, 43, 44]",True,True
baseline_experience_replay,0,9,50,3.4361806120475737,0.878364111683312,31.068070260056132,0.10555,49,0.0,[2],True,True
baseline_experience_replay,1,9,50,3.5051691754884806,0.8959991213305409,33.2870747332149,0.08855,45,0.0,[3],True,True
baseline_experience_replay,2,9,50,3.5649695667325263,0.9112854300156048,35.33837792560711,0.0934,49,0.0025,[],False,True
baseline_experience_replay,3,9,50,3.44222018163688,0.879907959861333,31.25627580053857,0.10555,48,0.0,[2],True,True
baseline_experience_replay,4,9,50,3.4604453374941837,0.8845667146365515,31.83114896278826,0.1154,49,0.0,"[2, 3]",True,True
baseline_finetune,0,9,50,1.56421325457101,0.3998476625522341,4.778913668025269,0.293,45,0.0,"[0, 1, 2, 3, 4, 5, 6, 7, 8, 9, 10, 11, 12, 13, 14, 15, 16, 17, 18, 19, 20, 21, 22, 23, 24, 25, 26, 27, 28, 29, 30, 31, 32, 33, 34, 35, 36, 37, 38, 39, 40, 41, 42, 43, 44]",True,True
baseline_finetune,1,9,50,1.5834780953995002,0.4047721839064693,4.871871210342843,0.28065,45,0.0,"[0, 1, 2, 3, 4, 5, 6, 7, 8, 9, 10, 11, 12, 13, 14, 15, 16, 17, 18, 19, 20, 21, 22, 23, 24, 25, 26, 27, 28, 29, 30, 31, 32, 33, 34, 35, 36, 37, 38, 39, 40, 41, 42, 43, 44]",True,True
baseline_finetune,2,9,50,1.5651942010889126,0.400098414277503,4.7836038267686245,0.2678,45,0.0,"[0, 1, 2, 3, 4, 5, 6, 7, 8, 9, 10, 11, 12, 13, 14, 15, 16, 17, 18, 19, 20, 21, 22, 23, 24, 25, 26, 27, 28, 29, 30, 31, 32, 33, 34, 35, 36, 37, 38, 39, 40, 41, 42, 43, 44]",True,True
baseline_finetune,3,9,50,1.5424308575486445,0.3942795978981813,4.675943018325125,0.348,45,0.0,"[0, 1, 2, 3, 4, 5, 6, 7, 8, 9, 10, 11, 12, 13, 14, 15, 16, 17, 18, 19, 20, 21, 22, 23, 24, 25, 26, 27, 28, 29, 30, 31, 32, 33, 34, 35, 36, 37, 38, 39, 40, 41, 42, 43, 44]",True,True
baseline_finetune,4,9,50,1.5792176622112089,0.4036831225225306,4.851159081199732,0.29975,45,0.0,"[0, 1, 2, 3, 4, 5, 6, 7, 8, 9, 10, 11, 12, 13, 14, 15, 16, 17, 18, 19, 20, 21, 22, 23, 24, 25, 26, 27, 28, 29, 30, 31, 32, 33, 34, 35, 36, 37, 38, 39, 40, 41, 42, 43, 44]",True,True
baseline_hard_top1_moe,0,9,50,1.500486245801106,0.383557623183478,4.483868802730295,0.3414,45,0.0,"[0, 1, 2, 3, 4, 5, 6, 7, 8, 9, 10, 11, 12, 13, 14, 15, 16, 17, 18, 19, 20, 21, 22, 23, 24, 25, 26, 27, 28, 29, 30, 31, 32, 33, 34, 35, 36, 37, 38, 39, 40, 41, 42, 43, 44]",True,True
baseline_hard_top1_moe,1,9,50,1.5497036231580243,0.3961386783788658,4.710074018842484,0.37425,45,0.0,"[0, 1, 2, 3, 4, 5, 6, 7, 8, 9, 10, 11, 12, 13, 14, 15, 16, 17, 18, 19, 20, 21, 22, 23, 24, 25, 26, 27, 28, 29, 31, 33, 34, 35, 36, 37, 38, 39, 40, 41, 42, 43, 44]",True,True
baseline_hard_top1_moe,2,9,50,1.5130327690120542,0.3867647932828202,4.540480161982729,0.37,45,0.0,"[0, 1, 2, 3, 4, 5, 6, 7, 8, 9, 10, 11, 12, 13, 14, 15, 16, 17, 18, 19, 20, 21, 22, 23, 24, 25, 26, 27, 28, 29, 30, 31, 32, 33, 34, 35, 36, 37, 38, 39, 40, 41, 42, 43, 44]",True,True
baseline_hard_top1_moe,3,9,50,1.4881000381654743,0.38039143330718,4.4286732104274495,0.35765,45,0.0,"[0, 1, 2, 3, 4, 5, 6, 7, 8, 9, 10, 11, 12, 13, 14, 15, 16, 17, 18, 19, 20, 21, 22, 23, 24, 25, 26, 27, 28, 29, 30, 31, 32, 33, 34, 35, 36, 37, 38, 39, 40, 41, 42, 43, 44]",True,True
baseline_hard_top1_moe,4,9,50,1.437139247549609,0.3673647229465419,4.208638705524172,0.4064,45,0.0,"[0, 1, 2, 3, 4, 5, 6, 7, 8, 9, 10, 11, 12, 13, 14, 15, 16, 17, 18, 19, 20, 21, 22, 23, 24, 25, 26, 27, 28, 29, 30, 31, 32, 33, 34, 35, 36, 37, 38, 39, 40, 41, 42, 43, 44]",True,True
baseline_joint_upper_bound,0,9,50,3.6699741676414255,0.9381269390668552,39.25089190409411,0.0879,49,0.0075,[],False,True
baseline_joint_upper_bound,1,9,50,3.645964805512926,0.9319896126515488,38.31972610534024,0.069,29,0.0,[3],True,True
baseline_joint_upper_bound,2,9,50,3.6669306311726624,0.9373489435222124,39.13161199160958,0.0706,49,0.0025,[],False,True
baseline_joint_upper_bound,3,9,50,3.6677575749948215,0.9375603287367194,39.16398501989022,0.07345,49,0.0,[3],True,True
baseline_joint_upper_bound,4,9,50,3.610753909646612,0.9229889253300642,36.99393238665533,0.0984,48,0.0025,[],False,True
baseline_lwf,0,9,50,2.6833602650853283,0.6859265043590028,14.634185510883976,0.2067,45,0.0,"[0, 1, 2, 3, 4, 6, 7, 8, 11, 12, 13, 14, 15, 16, 18, 19, 21, 22, 23, 24, 26, 27, 28, 30]",True,True
baseline_lwf,1,9,50,2.801768413737985,0.7161942580220969,16.473753439093734,0.1473,45,0.0,"[0, 1, 2, 3, 4, 6, 7, 8, 10, 11, 12, 13, 14, 16, 18, 19, 24, 32]",True,True
baseline_lwf,2,9,50,2.599854014440395,0.6645804512992269,13.461772667131433,0.17705,49,0.0,"[0, 1, 2, 3, 4, 5, 6, 7, 8, 9, 10, 11, 12, 14, 16, 18, 19, 24, 27, 33]",True,True
baseline_lwf,3,9,50,2.5250786756311285,0.6454662132935935,12.491878031334462,0.17045,45,0.0,"[0, 1, 2, 3, 4, 5, 6, 7, 8, 9, 10, 11, 12, 13, 15, 16, 17, 18, 19, 22, 23, 24, 27, 28, 32]",True,True
