method,model_family,final_avg_acc_mean,final_avg_acc_std,min_task_acc_mean,avg_forgetting_mean,middle_avg_acc_mean,middle_min_acc_mean,old_class_acc_mean,recent_class_acc_mean,class0_acc_mean,class1_acc_mean,class2_acc_mean,class3_acc_mean,class4_acc_mean,class5_acc_mean,min_class_acc_mean,pred4_bias_mean,class2_margin_vs4_mean,class5_margin_vs4_mean,class2_logit_rank_mean,class5_logit_rank_mean,trainable_params_mean,total_params_mean,backbone_params_mean,readout_total_params_mean,model_size_mb_total_mean,probe_row,backbone_source,probe_feature,probe_context_mode,method_role,label
probe_proto__zf_oracle,probe,0.65506,0.0340616059515695,0.549,,0.6397,0.616,0.7526666666666667,0.6386666666666667,0.874,0.768,0.616,0.65,0.514,0.752,0.146,0.00974,3.132579793781042,5.030046272277832,2.0740000009536743,1.6100000143051147,6500.0,6500.0,,,0.0247955322265625,True,mmals_proto_first_balanced_replay,zf,oracle,diagnostic_probe,ZF oracle probe
paired_context_gap_safe_class_balanced_readout_calibrated,mmals_rc2b_candidate,0.5377000000000001,0.0626511771637213,0.3702,0.1961777777777777,0.5039,0.4427999999999999,0.6586666666666666,0.5,0.8099999999999999,0.6719999999999999,0.494,0.484,0.428,0.588,0.084,0.00934,4.229892206192017,4.99469575881958,4.872000074386596,4.86399998664856,6500.0,539223.0,532723.0,6500.0,2.0569725036621094,False,same_proto_first_checkpoint,original_backbone_zf_rc2b_policy,proto_first_rc2b_strict,deployable_mmals_paired,Safe readout candidate
paired_context_temp_blend_selected_head_guard_035,mmals_rc2b_candidate,0.53556,0.0620661179710798,0.347,0.2008666666666666,0.5141,0.4518,0.6433333333333333,0.4746666666666667,0.788,0.654,0.488,0.4640000000000001,0.414,0.546,0.08,0.00934,4.373679733276367,4.946586322784424,5.184000062942505,5.3,6500.0,539223.0,532723.0,6500.0,2.0569725036621094,False,same_proto_first_checkpoint,original_backbone_zf_rc2b_policy,proto_first_rc2b_strict,deployable_mmals_paired,RC1b guarded context-gap
paired_rc2o_v1_feature_only_regime_hard_selector_policy,mmals_rc2b_policy,0.53556,0.0620661179710798,0.347,0.1976,0.5141,0.4518,0.6433333333333333,0.4746666666666667,0.788,0.654,0.488,0.4640000000000001,0.414,0.546,0.08,0.00934,4.373679733276367,4.946586322784424,5.184000062942505,5.3,6500.0,539223.0,532723.0,6500.0,2.0569725036621094,False,same_proto_first_checkpoint,original_backbone_zf_rc2b_policy,proto_first_rc2b_strict,deployable_mmals_paired,Selected RC2O
baseline_joint_upper_bound,joint_upper_bound,0.37824,0.0052276189608654,0.3156,0.0,0.3729,0.3474,0.4826666666666666,0.2279999999999999,0.658,0.508,0.282,0.19,0.178,0.316,0.092,0.01234,5.55327672958374,7.134679985046387,10.845999908447263,8.38799991607666,88740.0,88740.0,88740.0,,0.3385162353515625,False,baseline_sequential_or_joint,baseline_logits,none,diagnostic_upper_bound,Joint MLP control
baseline_balanced_replay,mlp_baseline,0.33254,0.0074241497829717,0.2102,0.3626444444444444,0.302,0.2387999999999999,0.4293333333333333,0.1946666666666666,0.632,0.394,0.262,0.162,0.136,0.286,0.002,0.00684,5.092765426635742,5.118088865280152,12.99199981689453,14.042000007629394,88740.0,88740.0,88740.0,,0.3385162353515625,False,baseline_sequential_or_joint,baseline_logits,none,deployable_continual_baseline,Best replay
baseline_lwf,mlp_baseline,0.13482,0.0023836946113124,0.0,0.4843333333333334,0.0016,0.0008,0.0,0.0,0.0,0.0,0.0,0.0,0.0,0.0,0.0,0.0,0.6475667536258698,0.6356126725673675,12.439999961853028,12.644000053405762,88740.0,88740.0,88740.0,,0.3385162353515625,False,baseline_sequential_or_joint,baseline_logits,none,deployable_continual_baseline,LwF
baseline_sparse_moe,sparse_moe_soft_entropy,0.0806,0.0008573214099741,0.0,0.7470444444444444,0.0,0.0,0.0,0.0,0.0,0.0,0.0,0.0,0.0,0.0,0.0,0.0,-0.3202925950288772,2.125277668237686,68.46799926757812,55.114000701904295,451241.0,451241.0,451241.0,,1.7213478088378906,False,baseline_sequential_or_joint,baseline_logits,none,deployable_continual_baseline,Sparse-MoE
baseline_ewc,mlp_baseline,0.08036,0.0015757537878742,0.0,0.7467555555555555,0.0,0.0,0.0,0.0,0.0,0.0,0.0,0.0,0.0,0.0,0.0,0.0,-0.6138841807842255,0.1103412866592407,39.531999588012695,36.48400001525879,88740.0,88740.0,88740.0,,0.3385162353515625,False,baseline_sequential_or_joint,baseline_logits,none,deployable_continual_baseline,EWC
baseline_pnn,pnn_fixed_columns,0.0798,0.0009695359714832,0.0,0.7276888888888888,0.0,0.0,0.0,0.0,0.0,0.0,0.0,0.0,0.0,0.0,0.0,0.0,2.555748724937439,4.774495410919189,43.51400070190429,34.05400009155274,146340.0,886500.0,886500.0,,3.3817291259765625,False,baseline_sequential_or_joint,baseline_logits,none,deployable_continual_baseline,PNN
baseline_finetune,mlp_baseline,0.07966,0.0015404544783926,0.0,0.7419555555555555,0.0,0.0,0.0,0.0,0.0,0.0,0.0,0.0,0.0,0.0,0.0,0.0,0.5019288539886475,0.6654345750808716,68.81600036621094,71.96599960327148,88740.0,88740.0,88740.0,,0.3385162353515625,False,baseline_sequential_or_joint,baseline_logits,none,deployable_continual_baseline,Finetune
